4.500E-02	5.630E+00	3.000E-05	1.000E+00	7.090E-03	9.070E-03	9.700E-01	3.600E-01
7.200E-02	8.300E+00	3.000E-05	1.000E+00	1.090E-02	1.130E-02	9.400E-01	3.800E-01
7.200E-02	7.320E+00	3.000E-05	1.000E+00	8.950E-03	1.380E-02	9.500E-01	5.400E-01
2.250E-02	2.750E+00	3.000E-05	1.000E+00	2.910E-03	7.510E-03	9.000E-01	6.100E-01
7.500E-02	3.180E+00	3.000E-05	3.000E-01	8.360E-03	2.240E-02	8.500E-01	7.600E-01
1.800E-01	3.010E+00	3.000E-05	1.000E-01	2.130E-02	3.670E-02	7.300E-01	6.900E-01
7.200E-02	7.180E+00	3.000E-05	1.000E+00	8.090E-03	1.560E-02	9.000E-01	6.200E-01
1.080E-01	9.670E+00	3.000E-05	1.000E+00	1.170E-02	1.690E-02	8.700E-01	5.700E-01
2.700E-02	3.640E+00	3.000E-05	1.000E+00	3.030E-03	1.340E-02	8.300E-01	7.600E-01
7.200E-02	7.320E+00	3.000E-05	1.000E+00	7.530E-03	1.810E-02	7.800E-01	6.300E-01
1.080E-01	9.850E+00	3.000E-05	1.000E+00	1.110E-02	1.910E-02	7.400E-01	5.600E-01
5.400E-03	2.130E+00	3.000E-05	3.000E+00	8.610E-04	2.030E-03	8.100E-01	3.700E-01
7.500E-02	3.250E+00	1.000E-04	1.000E+00	1.000E-02	1.220E-02	9.700E-01	3.200E-01
7.500E-02	3.060E+00	1.000E-04	1.000E+00	8.430E-03	1.680E-02	9.500E-01	5.200E-01
1.500E-01	5.280E+00	1.000E-04	1.000E+00	1.710E-02	1.950E-02	8.700E-01	4.200E-01
7.500E-02	3.260E+00	1.000E-04	1.000E+00	8.270E-03	1.890E-02	8.600E-01	5.900E-01
1.500E-01	5.400E+00	1.000E-04	1.000E+00	1.650E-02	2.130E-02	7.500E-01	4.500E-01
3.200E-01	2.140E+00	1.000E-04	1.000E-01	3.610E-02	5.300E-02	6.600E-01	5.800E-01
1.033E-01	8.260E+00	1.000E-04	3.000E+00	9.800E-03	1.560E-02	8.000E-01	4.200E-01
1.500E-01	5.460E+00	1.000E-04	1.000E+00	1.570E-02	2.410E-02	7.000E-01	4.900E-01
7.500E-02	3.470E+00	1.000E-04	1.000E+00	8.290E-03	2.110E-02	7.400E-01	5.900E-01
1.500E-02	5.220E+00	1.000E-04	1.000E+01	1.890E-03	5.130E-03	9.600E-01	2.800E-01
